Title,Reference,Company,Experience,Salary,Location,Job Description,Skills Required,Posted Date,Duration
Senior Php Wordpress Developer,https://www.naukri.com/job-listings-senior-php-wordpress-developer-elettra-tech-pvt-ltd-pondicherry-puducherry-puducherry-chennai-tamil-nadu-bangalore-bengaluru-karnataka-0-to-2-years-020923007182,Elettra Tech,0-2 Yrs,Not disclosed,"Pondicherry/ Puducherry, Puducherry, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka","Desired profile Looking for a PHP Developer with capability to develop, test & deploy f...","['Wordpress Plugin Development', 'Php Development', 'Frontend Development', 'Mysql Database', 'Backend Development', 'MySQL', 'Senior', 'Development']",1 Day Ago,N/A
Software Developer (Java Developer),https://www.naukri.com/job-listings-software-developer-java-developer-optiontown-new-delhi-0-to-1-years-121122007516,Optiontown,0-1 Yrs,2-4 Lacs PA,New Delhi(Rani Bagh),"Knowledge of Core Java, J2EE, XML, HTML and Web relevant technologies. Experience of wo...","['core java', 'Advanced Java', 'Coding', 'JSP', 'design', 'Development', 'Struts', 'J2ee']",2 Days Ago,N/A
Software Developer,https://www.naukri.com/job-listings-software-developer-manpower-service-chennai-tamil-nadu-0-to-2-years-010923009442,Manpower Service,0-2 Yrs,Not disclosed,"Chennai, Tamil Nadu","Vacancy for Software Developers at Chennai Designation - Java, Python, Sql, UI / UX, We...","['Java', 'BCA', 'ui developer', 'Php Development', 'MCA', 'IT', 'IOS', 'Android']",2 Days Ago,N/A
BlackBerry QNX - Systems Software Developer I,https://www.naukri.com/job-listings-blackberry-qnx-systems-software-developer-i-research-in-motion-hyderabad-secunderabad-0-to-3-years-310823501278,Research In Motion,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Hands on experience of system programming in embedded systems (such as board bring up, ...","['RTOS', 'Graphics', 'Performance tuning', 'C++', 'Blackberry', 'Linux', 'USB', 'Firmware']",3 Days Ago,N/A
Software Developer,https://www.naukri.com/job-listings-software-developer-mothercode-software-system-chennai-0-to-1-years-310823004938,Mothercode Software System,0-1 Yrs,1-1.25 Lacs PA,Chennai,Role & responsibilities software developerPreferred candidate profile BE.with knowledge...,"['c++', 'software development', 'java', 'Development', 'Software']",3 Days Ago,N/A
"Java Trainee, Java Developer",https://www.naukri.com/job-listings-java-trainee-java-developer-quickxpert-infotech-mumbai-suburban-thane-mumbai-all-areas-0-to-5-years-250322010307,Quickxpert Infotech,0-5 Yrs,Not disclosed,"Mumbai Suburban, Thane, Mumbai (All Areas)",We have immediate openings for Java Trainees with out clients. Interested candidates ca...,"['C++', 'java developer', 'SQL', 'java', 'css', 'Java Script Ajax', 'Programming', 'Web Designing']",3 Days Ago,N/A
Associate UI Developer,https://www.naukri.com/job-listings-associate-ui-developer-media-net-mumbai-all-areas-0-to-0-years-310823008008,Media.net,N/A,4-4.5 Lacs PA,Mumbai (All Areas),Designation: Associate UI DeveloperInterview mode: walk-inDate and timing: 5th of Septe...,"['CSS', 'html', 'javascript', 'UI development', 'Development', 'Cs', 'UI']",3 Days Ago,N/A
Flutter Developer,https://www.naukri.com/job-listings-flutter-developer-krishworks-technology-and-research-labs-bangalore-bengaluru-0-to-1-years-010923009363,Krishworks Technology And Research Labs,0-1 Yrs,4-6 Lacs PA,Bangalore/Bengaluru(Marathahalli),Candidates with knowledge of iOS internals will be preferred.,"['flutter', 'android', 'JSON', 'firebase', 'Dart', 'Rest Api Integration', 'Java', 'coding']",2 Days Ago,N/A
Mean Stack Developer,https://www.naukri.com/job-listings-mean-stack-developer-epicle-solutions-chennai-tamil-nadu-0-to-5-years-020923005351,Epicle Solutions,0-5 Yrs,3-7 Lacs PA,"Chennai, Tamil Nadu","Dear Candidate, We have Immediate Job opening For Mean Stack Developer Experience- 1-7 ...","['node.js', 'Development', 'Mean Stack Development', 'Stack', 'Mean Stack', 'Mean']",1 Day Ago,N/A
Research Intern - Climate Resilience,https://www.naukri.com/job-listings-research-intern-climate-resilience-council-on-energy-environment-and-water-new-delhi-0-to-1-years-010923500535,CEEW,N/A,Unpaid,New Delhi,N/A,[''],Starts : 15th Sep' 23,3 months duration
Junior Front End Developer - Remote (Fresh College Graduates),https://www.naukri.com/job-listings-junior-front-end-developer-remote-fresh-college-graduates-coalition-technologies-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-090823010464,Coalition Technologies,0-5 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Prior experience in web design industry (preferred, but not required)","['Html/Css', 'PSD', 'GIT', 'Responsive Web Design', 'Illustrator', 'SVN', 'Photoshop', 'Development']",2 Days Ago,N/A
ASP.Net Developer (ASP.NetMVC/ ASP.Net Core/Angular),https://www.naukri.com/job-listings-asp-net-developer-asp-netmvc-asp-net-core-angular-netcomm-labs-noida-0-to-3-years-020923005203,Netcomm Labs,0-3 Yrs,1.75-5 Lacs PA,Noida,Looking for a Male candidate . Looking for WFO Candidates Only .,"['ASP.Net MVC', 'SQL', 'angular', 'asp.net', 'C#', 'fullstack development', 'web services', 'web application']",1 Day Ago,N/A
Php Developer,https://www.naukri.com/job-listings-php-developer-ornet-technologies-pvt-ltd-navi-mumbai-maharashtra-0-to-2-years-300823006067,ORNET Technologies Pvt. Ltd.,0-2 Yrs,Not disclosed,"Navi Mumbai, Maharashtra","BCS, BE, BCA, B Tech(IT), BSc.IT and all technical fieldsWe are looking for a proactive...","['MySQL', 'PHP', 'php development', 'Core PHP', 'sql', 'software development', 'Laravel', 'Development']",2 Days Ago,N/A
Trainee - Associate UI Developer - Angular,https://www.naukri.com/job-listings-trainee-associate-ui-developer-angular-nekkanti-systems-hyderabad-secunderabad-0-to-0-years-030923002372,Nekkanti Systems,0-0 Yrs,Not disclosed,Hyderabad/Secunderabad,Deep knowledge of Angular practices and commonly used modules based on extensive work e...,"['Angular', 'Development', 'Training', 'UI']",Just Now,N/A
Web Developer,https://www.naukri.com/job-listings-web-developer-vap-technology-pvt-ltd-kolkata-0-to-5-years-020923500943,VAP Technology,0-5 Yrs,Not disclosed,Kolkata,Requirements . A Bachelor s Degree in a field related to Computer Science / Information...,"['Computer science', 'PSD', 'CSS', 'jQuery', 'Wordpress', 'Javascript', 'PHP', 'HTML']",1 Day Ago,N/A
Node Js Developer Intern,https://www.naukri.com/job-listings-node-js-developer-intern-mentorsity-remote-0-to-1-years-010923500973,Mentorsity,N/A,Unpaid,Remote,N/A,[''],Starts in 1-3 months,No fixed duration
PhD Research Scholar - Data Science,https://www.naukri.com/job-listings-phd-research-scholar-data-science-kgisl-bangalore-bengaluru-0-to-2-years-310823500067,KG Information Systems (KGISL),0-2 Yrs,Not disclosed,Bangalore/Bengaluru,You will work in agile teams through good collaboration with our colleagues in software...,"['Research Scholar', 'Automation', 'C++', 'Powertrain', 'data science', 'Simulation', 'Construction equipment', 'Analytics']",3 Days Ago,N/A
Software Engineer - Android Support,https://www.naukri.com/job-listings-software-engineer-android-support-ingenico-group-noida-0-to-2-years-010923501250,Ingenico,0-2 Yrs,Not disclosed,Noida,"Bachelor s Degree in Computer Science, Electronics Engineering, Electrical Engineering ...","['SAS', 'Production support', 'Agile', 'Scrum', 'Troubleshooting', 'Software quality assurance', 'Android', 'Python']",2 Days Ago,N/A
"Trainee (React ,Node JS Developer)",https://www.naukri.com/job-listings-trainee-react-node-js-developer-itcube-solutions-pvt-ltd-pune-maharashtra-0-to-0-years-310823003755,Itcube Solutions,0-0 Yrs,Not disclosed,"Pune, Maharashtra",knowledge in React and Redux Framework Knowledge of Chart binding will be an added adva...,"['node.js', 'material ui', 'React.Js', 'Training', 'Development', 'Javascript', 'Node', 'UI']",3 Days Ago,N/A
ServiceNow Developer,https://www.naukri.com/job-listings-servicenow-developer-service-now-planet-hyderabad-secunderabad-0-to-2-years-310823501422,Service Now Planet,0-2 Yrs,Not disclosed,Hyderabad/Secunderabad,. To be successful in this role you have: . 0-2+ years of experience with Java or a sim...,"['Unix', 'Object oriented design', 'Software design', 'Automation testing', 'Analytical', 'Javascript', 'Data structures', 'Unit testing']",3 Days Ago,N/A
Salesforce Developer,https://www.naukri.com/job-listings-salesforce-developer-swadesh-softwares-pvt-ltd-asansol-0-to-4-years-310823500757,Swadesh Softwares,0-4 Yrs,Not disclosed,Asansol,"Experience in Salesforce CRM Development, CRM Management & Customization . Development ...","['Administration', 'CRM management', 'Management', 'Apex', 'Salesforce CRM', 'Visualforce', 'Sales force development', 'Development']",3 Days Ago,N/A
"SQL Developer, Database Developer, Oracle Developer Openings",https://www.naukri.com/job-listings-sql-developer-database-developer-oracle-developer-openings-marriageonix-mumbai-suburban-thane-mumbai-all-areas-0-to-5-years-220922008927,MarriageOnix,0-5 Yrs,Not disclosed,"Mumbai Suburban, Thane, Mumbai (All Areas)",We are looking for SQL Developer for our clients. Interested candidates can apply on na...,"['sql', 'it engineer', 'bca', 'oracle sql developer', 'oracle', 'sql server developer', 'bsc it', 'mca']",Today,N/A
Firmware Developer,https://www.naukri.com/job-listings-firmware-developer-super-management-consultants-gurgaon-gurugram-haryana-0-to-1-years-050723005527,Super Management Consultants,0-1 Yrs,3-5 Lacs PA,"Gurgaon/ Gurugram, Haryana",1. Work with us and build India's first open EV battery-swapping ecosystem 2. Familiari...,"['RTOS', 'Mqtt', 'I2C', 'Firmware Development', 'Embedded Firmware', 'GSM', 'ESP', 'Communication Protocols']",1 Day Ago,N/A
C++ Developer,https://www.naukri.com/job-listings-c-developer-vehant-technologies-noida-uttar-pradesh-0-to-2-years-020923007196,Vehant Technologies,0-2 Yrs,Not disclosed,"Noida, Uttar Pradesh","C++, Linux, Algorithm, data structure","['C++', 'Algorithms', 'Linux', 'Data Structures', 'Development', 'Data']",1 Day Ago,N/A
Fresher Dot Net / .Net Developer (BTech - IT/BCA/MCA),https://www.naukri.com/job-listings-fresher-dot-net-net-developer-btech-it-bca-mca-elite-hr-services-ahmedabad-0-to-0-years-020923004055,Elite Hr Services,0-0 Yrs,2-2.75 Lacs PA,Ahmedabad,"1. Done project, internship or training in asp.net, c# 2. Good knowledge in html, javas...","['asp.net', 'C#', 'MVC Architecture', 'oop', 'Web Api', 'Webforms', 'ADO.Net', 'OOPS']",1 Day Ago,N/A
